year,stateProvince,decimalLatitude,decimalLongitude,vernacularName,species
2019,Victoria,-36.44966,141.84557,Rabbit,Oryctolagus cuniculus
2013,Victoria,-37.6295,145.34194,Rabbit,Oryctolagus cuniculus
1992,Victoria,-37.83992,146.33016,Rabbit,Oryctolagus cuniculus
2016,Victoria,-37.6554,145.3372,Rabbit,Oryctolagus cuniculus
2017,Victoria,-38.1339,145.26153,Rabbit,Oryctolagus cuniculus
1987,Victoria,-34.70684,142.79296,Rabbit,Oryctolagus cuniculus
2006,Victoria,-36.78694,145.00361,Rabbit,Oryctolagus cuniculus
2006,Victoria,-37.68167,144.29144,Rabbit,Oryctolagus cuniculus
1970,Victoria,-37.54301,145.43407,Rabbit,Oryctolagus cuniculus
1992,Victoria,-38.08992,145.72009,Rabbit,Oryctolagus cuniculus
2023,Victoria,-37.89835,145.42127,Rabbit,Oryctolagus cuniculus
1997,Victoria,-37.79016,144.77632,Rabbit,Oryctolagus cuniculus
2019,Victoria,-36.5547,146.1895,Rabbit,Oryctolagus cuniculus
2020,Victoria,-37.10276,142.30653,Rabbit,Oryctolagus cuniculus
2020,Victoria,-37.53702,144.90306,Rabbit,Oryctolagus cuniculus
2019,Victoria,-38.15743,145.552,Rabbit,Oryctolagus cuniculus
2003,Victoria,-37.22267,144.04555,Rabbit,Oryctolagus cuniculus
2016,Victoria,-38.12847,145.2897,Rabbit,Oryctolagus cuniculus
2008,Victoria,-38.11905,145.16755,Rabbit,Oryctolagus cuniculus
2001,Victoria,-37.01052,148.06067,Rabbit,Oryctolagus cuniculus
1985,Victoria,-38.54018,143.70968,Rabbit,Oryctolagus cuniculus
1985,Victoria,-37.39536,149.49956,Rabbit,Oryctolagus cuniculus
1983,Victoria,-37.01296,146.26218,Rabbit,Oryctolagus cuniculus
2013,Victoria,-38.1319,145.27403,Rabbit,Oryctolagus cuniculus
2012,Victoria,-38.14776,145.23204,Rabbit,Oryctolagus cuniculus
2016,Victoria,-38.12847,145.2897,Rabbit,Oryctolagus cuniculus
2017,Victoria,-36.86314,145.33809,Rabbit,Oryctolagus cuniculus
2014,Victoria,-36.99775,141.56722,Rabbit,Oryctolagus cuniculus
2005,Victoria,-36.20444,146.95444,Rabbit,Oryctolagus cuniculus
1984,Victoria,-37.45855,148.91493,Rabbit,Oryctolagus cuniculus
1997,Victoria,-36.20389,146.95397,Rabbit,Oryctolagus cuniculus
2013,Victoria,-38.0321,140.99027,Rabbit,Oryctolagus cuniculus
2002,Victoria,-36.78373,144.99022,Rabbit,Oryctolagus cuniculus
2004,Victoria,-38.08992,145.72009,Rabbit,Oryctolagus cuniculus
2014,Victoria,-38.22036,145.28976,Rabbit,Oryctolagus cuniculus
1985,Victoria,-36.85121,145.39783,Rabbit,Oryctolagus cuniculus
2005,Victoria,-38.08992,145.72009,Rabbit,Oryctolagus cuniculus
1990,Victoria,-37.63601,145.19413,Rabbit,Oryctolagus cuniculus
2002,Victoria,-36.78373,144.99022,Rabbit,Oryctolagus cuniculus
